"logFC.X1","logFC.X2","logFC.X3","logCPM","F","PValue","FDR","Symbol","ENSEMBL","celltype"
"ENSMUSG00000027326.hepatocyte",2.82906358997086,8.63784355005404,1.25163060296469,1.2126310678601,20.8283864345786,1.67814959451812e-07,0.000230481860024246,"Knl1","ENSMUSG00000027326","hepatocyte"
"ENSMUSG00000033952.endothelial",6.2600456647211,3.15724167283687,-0.448311709959839,2.12555433294735,23.7673636819549,1.73089210764647e-07,0.000234832925787662,"Aspm","ENSMUSG00000033952","endothelial"
"ENSMUSG00000044337.endothelial",2.54519289351543,6.37665607266714,0.704283981711726,4.45065884826427,20.7435696174028,1.74812528001969e-07,0.000234832925787662,"Ackr3","ENSMUSG00000044337","endothelial"
"ENSMUSG00000078521.hepatocyte",2.84774768545349,12.0912109156231,1.05435725042075,-1.17703565207736,20.7230393565443,1.76552648844968e-07,0.000234832925787662,"Aunip","ENSMUSG00000078521","hepatocyte"
"ENSMUSG00000050440.endothelial",-4.28599939573582,-2.54860880639769,-1.66117382760145,5.1180593420597,20.6762256592402,1.80589949270816e-07,0.000234832925787662,"Hamp","ENSMUSG00000050440","endothelial"
"ENSMUSG00000042462.stellate",-0.364368887480119,5.17688506754442,-1.51276746933331,1.75512853493202,20.6698316329826,1.81148975323545e-07,0.000234832925787662,"Dctpp1","ENSMUSG00000042462","stellate"
"ENSMUSG00000024795.hepatocyte",2.46801818109727,7.9380576778083,1.41183641596792,1.42622055376578,20.6209320837835,1.85485717091104e-07,0.000234832925787662,"Kif20b","ENSMUSG00000024795","hepatocyte"
"ENSMUSG00000027496.endothelial",4.9151139949671,3.23454732106693,-0.477837998861892,1.77019925332254,20.6203453072164,1.85538423439625e-07,0.000234832925787662,"Aurka","ENSMUSG00000027496","endothelial"
"ENSMUSG00000011256.neutrophil",-4.47527960430007,-5.31180520905596,-2.60401779364085,1.44478760779978,21.2628176819832,1.8838652927391e-07,0.000234832925787662,"Adam19","ENSMUSG00000011256","neutrophil"
"ENSMUSG00000064347.stellate",4.4514651149215,4.75503628576497,0.44129575585149,2.6764865126707,20.5729267941194,1.89850947812001e-07,0.000234832925787662,NA,"ENSMUSG00000064347","stellate"
"ENSMUSG00000066153.endothelial",-5.98015992162978,-3.46070093158432,-2.87533693190211,1.71778093935454,21.040664919656,1.90051832578852e-07,0.000234832925787662,"Mup21","ENSMUSG00000066153","endothelial"
"ENSMUSG00000027699.endothelial",5.09853810885118,3.87006636405766,-0.250246020486389,1.96893679047766,21.0425051877864,1.91959012670072e-07,0.000234832925787662,"Ect2","ENSMUSG00000027699","endothelial"
"ENSMUSG00000024691.stellate",0.89710155119441,5.73249280113384,-1.18655425694549,2.21436158484736,20.5350777115828,1.93369827834656e-07,0.000234832925787662,"Fam111a","ENSMUSG00000024691","stellate"
"ENSMUSG00000058773.cholangiocyte",5.73516183036774,5.04585353982937,2.49210742782304,-0.136522967374634,20.5319425601735,1.93664408767203e-07,0.000234832925787662,"H1f5","ENSMUSG00000058773","cholangiocyte"
"ENSMUSG00000005481.stellate",0.842374563551469,5.29746251737462,-0.744001936552008,2.27042299020678,20.3874831867787,2.07770477963413e-07,0.000249163920431391,"Ddx39a","ENSMUSG00000005481","stellate"
"ENSMUSG00000071356.hepatocyte",-9.83828287708781,-1.50616640996218,-5.92170463479659,-1.3855313399859,21.937170888465,2.09185436482119e-07,0.000249163920431391,"Reg3b","ENSMUSG00000071356","hepatocyte"
"ENSMUSG00000046841.stellate",1.47470485539296,5.06873623956126,-0.558627912872546,4.4497373807372,20.2342395446914,2.2393908766669e-07,0.000262415501330939,"Ckap4","ENSMUSG00000046841","stellate"
"ENSMUSG00000034317.hepatocyte",4.60828896079503,10.9693195134728,2.42925409478515,0.627098824104487,21.8991720585208,2.24210100248581e-07,0.000262415501330939,"Trim59","ENSMUSG00000034317","hepatocyte"
"ENSMUSG00000036223.hepatocyte",2.23908176895097,10.8539782794224,1.25771032755832,0.124137713801986,20.1628205136109,2.31927914799911e-07,0.000269108358796627,"Ska1","ENSMUSG00000036223","hepatocyte"
"ENSMUSG00000021278.hepatocyte",4.14563099428522,8.37444519302808,1.26322635320455,-0.517351797499848,20.0434075936043,2.45971571569412e-07,0.000276628074343627,"Amn","ENSMUSG00000021278","hepatocyte"
"ENSMUSG00000058624.neutrophil",-3.9054218163879,-4.17031042819966,-2.1120824377131,4.77522866443364,20.8623617791377,2.47010764995391e-07,0.000276628074343627,"Gda","ENSMUSG00000058624","neutrophil"
"ENSMUSG00000028583.neutrophil",-8.05959692186929,-1.97393463709499,-4.63866738361394,-1.17508881792826,20.1777568143788,2.48135029578241e-07,0.000276628074343627,"Pdpn","ENSMUSG00000028583","neutrophil"
"ENSMUSG00000031636.endothelial",4.25236687241879,0.505955842038595,3.99675297944457,-0.485740707126919,20.0694825728209,2.48137296365681e-07,0.000276628074343627,"Pdlim3","ENSMUSG00000031636","endothelial"
"ENSMUSG00000022371.kupffer",4.38813803779995,1.32356643288165,2.52535685931534,0.257736514760643,20.0191414790246,2.48934681011781e-07,0.000276628074343627,"Col14a1","ENSMUSG00000022371","kupffer"
"ENSMUSG00000017499.stellate",0.163992151260135,7.92500767275559,-0.786455909466365,-0.0798921419774498,20.004505998702,2.50740178533704e-07,0.000276628074343627,"Cdc6","ENSMUSG00000017499","stellate"
"ENSMUSG00000024590.endothelial",4.2394659976594,3.42955090753069,-0.54706995040304,3.49693558986139,20.4620085377254,2.70437510506679e-07,0.00029492706978711,"Lmnb1","ENSMUSG00000024590","endothelial"
"ENSMUSG00000029177.hepatocyte",2.98771039270035,6.64902033824667,0.693703203617091,3.2178438293078,21.2981366151157,2.73197653503621e-07,0.00029492706978711,"Cenpa","ENSMUSG00000029177","hepatocyte"
"ENSMUSG00000019942.endothelial",4.75863402821157,3.83306231459908,-0.147092794399857,4.14913403430831,22.0791490668479,2.73900292158673e-07,0.00029492706978711,"Cdk1","ENSMUSG00000019942","endothelial"
"ENSMUSG00000063021.stellate",10.3474632379839,40.7345861041492,6.58497862488061,-2.87366429526434,21.7921233630349,2.7724057923912e-07,0.000295244641500705,"H2ac15","ENSMUSG00000063021","stellate"
"ENSMUSG00000045917.neutrophil",-4.21242284089856,-6.10513687868349,-3.62098713548764,-0.525471881299097,19.792048968254,2.78582346210806e-07,0.000295244641500705,"Tmem268","ENSMUSG00000045917","neutrophil"
"ENSMUSG00000059323.stellate",1.25861671016413,9.33710899562582,-2.16560857772353,-1.62417791059421,19.7715595983196,2.8143659904679e-07,0.00029593937879142,"Tonsl","ENSMUSG00000059323","stellate"
"ENSMUSG00000000028.stellate",1.95349587907387,9.21416774156935,-1.20748815713764,0.129617365482785,21.9064501045892,2.95896992098948e-07,0.000306512027951745,"Cdc45","ENSMUSG00000000028","stellate"
"ENSMUSG00000066153.hepatocyte",-4.44282105837352,-3.86291226040275,-2.84148518107692,5.94352375894035,22.2386986466994,2.96045674713415e-07,0.000306512027951745,"Mup21","ENSMUSG00000066153","hepatocyte"
"ENSMUSG00000037313.endothelial",4.918363380792,3.93146289486224,-0.504642929463218,2.39480426788592,21.1207542868587,2.99233727002718e-07,0.000307447807020289,"Tacc3","ENSMUSG00000037313","endothelial"
